time,Андрей_Болконский,Пьер_Безухов,Наташа,Николай_Ростов
95,-0.3348391552766164,-0.3772270232439041,0,-0.29422497749328613
96,0,0,-0.320831298828125,-0.3016970336437225
97,0,0,0,-0.3422058118241174
98,0,0,0,-0.3257111072540283
99,0,0,0,-0.411199152469635
100,0,0,0,-0.061821140348911285
101,0,0,0,-0.3836068267172033
102,0,0,0,-0.3807681918144226
103,-0.3328033188978831,-0.3007555902004242,0,0
104,-0.14013423522313437,0,0,-0.3140605390071869
105,-0.12937695533037186,-0.2684285541375478,0,0
106,-0.014297924935817719,0,0,0
107,-0.09369251132011414,0,0,0
108,0,0,0,0
109,0,-0.3435617834329605,0,0
110,0,-0.37509648501873016,0,0
111,0,-0.3487893342971802,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,-0.353203684091568,0.33459946513175964
115,0,0,0.026911109685897827,0
116,0,0,-0.3702353835105896,0
117,-0.24509501457214355,-0.10156879325707753,-0.09398335218429565,0
118,0.20220691710710526,0.3351736217737198,0.21610970795154572,0
119,0.4127906660238902,0.17153703793883324,0.40835441946983336,0
120,0.1641755849123001,0,0,0.3557848632335663
121,0.21135048866271972,0,-0.08736814061800639,0
122,0,0.4378334879875183,0,0
123,0.287777841091156,0.1322146157423655,-0.24509501457214355,0
124,0.2530769631266594,0.20665367444356283,0.6150978803634644,0
125,-0.35228586196899414,-0.3629792034626007,-0.2035678823788961,0
126,0.1908474862575531,0,0.0956001083056132,0.29422497749328613
127,-0.2552440017461777,0,0,0
128,-0.2733636945486069,0,0,-0.30736804008483887
129,-0.3007555902004242,0,-0.09124073386192322,-0.20577230056126913
130,0,0,-0.287777841091156,-0.3525407314300537
131,0,0,0,-0.2909334637224674
132,0,0,-0.4428524672985077,-0.3831854313611984
133,0,0,0,-0.3703535199165344
134,0,0,-0.11409750580787659,-0.1040704220533371
135,0.3276783227920532,0,0.2166098091337416,0.16247698664665222
136,-0.29422497749328613,0,-0.29422497749328613,-0.3448985815048218
137,-0.04824875295162201,0,-0.12809178233146667,-0.3146851807832718
138,0.2689514458179474,0,0.2788716182112694,0.003942042589187622
139,0,0,0,-0.1787702813744545
140,0,0,0.02684168517589569,0.027030736207962036
141,0,0,-0.34190525114536285,-0.4182139113545418
142,-0.275139719247818,-0.11200566093126933,-0.275139719247818,0
143,-0.348655104637146,0,0,-0.348655104637146
144,0,-0.5156299471855164,0,-0.4532718360424042
145,-0.287777841091156,0.21855121850967407,0,0
146,0,0,0,0
147,0.04906056821346283,0,0.04906056821346283,-0.0546630322933197
148,0,0,0.4914047122001648,0
149,0,0.4688006341457367,0.23512404561042785,0
